Elevation,Latitude,Longitude,CSMPM,LURES100,LURES300,LURES500,LURES1000,LURES5000,LUCOMM100,LUCOMM300,LUCOMM500,LUCOMM1000,LUCOMM5000,LUINDUS100,LUINDUS300,LUINDUS500,LUINDUS1000,LUINDUS5000,LUAGRI100,LUAGRI300,LUAGRI500,LUAGRI1000,LUAGRI5000,LUUtTr100,LUUtTr300,LUUtTr500,LUUtTr1000,LUUtTr5000,LUVaFo100,LUVaFo300,LUVaFo500,LUVaFo1000,LUVaFo5000,POP100,POP300,POP500,POP1000,POP5000,HOUS100,HOUS300,HOUS500,HOUS1000,HOUS5000,RDALL25,RDALL50,RDALL100,RDALL300,RDALL500,RDALL1000,RDMAJ25,RDMAJ50,RDMAJ100,RDMAJ300,RDMAJ500,RDMAJ1000,VEHDENSALL25,VEHDENSALL50,VEHDENSALL100,VEHDENSALL300,VEHDENSALL500,VEHDENSALL1000,VEHDENSMAJ25,VEHDENSMAJ50,VEHDENSMAJ100,VEHDENSMAJ300,VEHDENSMAJ500,VEHDENSMAJ1000,TRKDENSALL25,TRKDENSALL50,TRKDENSALL100,TRKDENSALL300,TRKDENSALL500,TRKDENSALL1000,TRKDENSMAJ25,TRKDENSMAJ50,TRKDENSMAJ100,TRKDENSMAJ300,TRKDENSMAJ500,TRKDENSMAJ1000,DISTINVALL,DISTINVALL2,DISTINVMAJ,DISTINVMAJ2,ALLAADT,MAJAADT,ALLDIESAADT,MADIESAADT,ALLAADT_DIS,ALLAADT_DIS2,MAJAADT_DIS,MAJAADT_DIS2,ALLDIESAADT_DIS,ALLDIESAADT_DIS2,MAJDIESAADT_DIS,MAJDIESAADT_DIS2,BUSFC25,BUSFC50,BUSFC100,BUSFC300,BUSFC500,BUSFC1000,RAIL25,RAIL50,RAIL100,RAIL300,RAIL500,RAIL1000,Idw_PM_1,Idw_PM_2,PointDe_NEI_PM_Popu_1000,PointDe_NEI_PM_Popu_10000,PointDe_NEI_PM_Popu_1500,PointDe_NEI_PM_Popu_15000,PointDe_NEI_PM_Popu_20000,PointDe_NEI_PM_Popu_3000,PointDe_NEI_PM_Popu_5000,PointDe_NEI_PM_Popu_7500,PointDe_NEI_PM_1000,PointDe_NEI_PM_10000,PointDe_NEI_PM_1500,PointDe_NEI_PM_15000,PointDe_NEI_PM_20000,PointDe_NEI_PM_3000,PointDe_NEI_PM_30000,PointDe_NEI_PM_5000,PointDe_NEI_PM_7500,EucDistinv_PM_,EucAllo_PM_,EucDistinv2_PM_,Allo_Dist_PM_,Allo_Dist2_PM_,PM
-357.03775,135258.8112,407161.9085,13.516666,8441.667,126579.16,403295.84,1727945.9,37929760,0,1108.3334,15166.667,202591.67,6178721,13637.5,73687.5,125350,191529.17,3533325,0,0,0,0,-969395.81,0,0,0,2016.6666,170179.17,-6395.8335,-37704.168,-109129.16,-443887.5,-17440258,23.5,370.83334,990.83331,4350.6665,79659.664,10.333333,163.5,456.83334,2103.6667,37448,36.483334,104.25,255.41667,3000.9834,8378.4502,35861.199,0,0,0,0,370.96667,5225.0166,1.8666667,1.3333334,0.80000001,1.0833334,4.8499999,18.833334,0,0,0,0,3.8333335,17.866667,0,0,0,0,0.26666668,0.93333334,0,0,0,0,0.26666668,0.93333334,0.13365333,0.025597263,0.00226,5.19E-06,100,9227.333,444.33334,444.33334,13.3654,2.5597167,20.480434,0.046216667,1.0251501,0.0024,1.0249333,0.0024,0,0,0,0,0,64.916672,0,0,0,0,0,0,18641.97167,17613.235,0,1562.937667,0,835.4335667,1094.0426,0,15.75638533,2095.4585,0,0.137403833,0,0.122136667,0.096819667,0,0.065017667,0.025465,0.117892167,0.000264689,1065,7.01E-08,0.281893827,7.46E-05,18.85
-342.18826,139530.4779,407488.5752,13.966667,1237.5,51287.5,127658.34,1153120.9,39964672,10312.5,29137.5,116962.5,231304.17,4781983.5,0,137.5,78591.664,685358.31,3118004.2,0,0,0,-100820.84,-1338491.6,0,0,0,0,216079.17,-7945.8335,-143054.17,-298462.5,-471791.66,-20936274,31.5,209,570.66669,2584.5,57327.832,23.166666,134.5,364.5,1159,25550.334,0,113.81667,396.16669,2237.3667,4649.1665,25568.684,0,108.71667,366.20001,1188.25,2034.1333,7490.417,0,129.93333,112.38333,40.966667,25.366667,27.616667,0,129.86667,112.28333,40.566666,24.799999,26.433332,0,2.6166666,2.2833333,0.80000001,0.5333333,1,0,2.6166666,2.2833333,0.80000001,0.51666665,1,0.030996667,0.000963402,0.030996667,0.000963402,8997,8997,180,180,278.9039,8.6677494,278.9039,8.6677494,5.6374497,0.17688334,5.5799003,0.17341666,0,2.25,7.1666665,23.083334,45.25,167.43333,0,0,0,0,0,0,12268.84167,5525.414833,0,750.80565,448.9505,789.8581667,682.8925,112.2376,40.54113,18.01828,0,0.0450935,0.141471,0.105395667,0.091514,0.035368,0.066491,0.025465,0.011318,0.00084951,3173,7.22E-07,2.695494879,0.00228985,16.55
-358.51874,137616.3112,410727.7418,15.033333,16487.5,171266.67,575220.81,2344720.8,42470240,0,0,295.83334,36220.832,6255262.5,0,1275,1575,27308.334,3657595.8,0,0,0,0,-537745.81,0,0,0,3033.3333,414733.34,-13875,-86025,-105954.16,-303820.84,-15851058,32.333332,359.5,1083.6666,3987.1667,63557.5,11.5,137.33333,424.33334,1585.8334,28523.834,8.166667,25.1,88.333336,1695.1167,6744.7168,28089.1,0,8.5166664,30.066666,102.03333,186.93333,2223.95,0.41666666,12.783333,11.283333,4.75,3.7166665,8.3999996,0,12.566667,11.099999,4.1833334,2.75,6.2999997,0,0.93333334,0.81666666,0.31666666,0.21666665,0.38333336,0,0.93333334,0.81666666,0.31666666,0.2,0.26666668,0.048608333,0.010474534,0.005156667,0.00010058,100,9601.167,246.66667,246.66667,4.8610835,1.0474167,57.2057,1.1629833,3.6119335,0.08448334,3.6315165,0.085433334,0,0.43333331,1.4,4.75,8.6833334,59.049999,0,0,0,0,0,127,13689.07667,10834.82,0,1144.672467,0,889.68955,1268.696,0,101.8386,49.01165167,0,0.0620705,0,0.1221365,0.092575167,0,0.064959,0.025465,0.0254645,0.000303266,3448.333333,9.20E-08,1.045761597,0.000317144,13.92
-299.80359,134322.9779,413116.0752,13.616667,17487.5,167383.33,467437.5,1430762.5,40781404,0,7866.6665,21937.5,192650,5204162.5,6212.5,18845.834,25404.166,254466.67,2348733.2,0,0,0,0,-1154570.9,12.5,6795.8335,23854.166,74066.664,935066.69,-1712.5,-14941.667,-52458.332,-535808.31,-16211217,46.833332,431.66666,1051.6666,3273.8333,66428.664,21,200.5,513,1562.8334,30514.666,54.583332,165.48334,573.78333,3986.4333,9536.084,31984.033,0,0,0,296.58334,1264.8,7695.4336,2.7666667,2.0999999,1.8,14.65,19.916666,26.116667,0,0,0,12.066667,17.066666,24.016666,0,0,0,0.86666667,1.2333333,1.6500001,0,0,0,0.76666671,1.15,1.5666667,0.25,0.0625,0.004341667,2.04E-05,100,10794.667,529.16669,713,25,6.25,48.168118,0.23276666,2.6949832,0.014066666,3.1665668,0.015233333,0,0,0,10.266666,24.566666,80.266663,0,0,0,211.83333,754.33331,2606,11079.62783,5883.114833,1535.827,943.4802667,682.5897,1847.891667,2151.32,170.6474,1618.8843,1122.102833,0.31831,0.187802833,0.141471,0.137462833,0.099604667,0.035368,0.067670167,0.046685667,0.105631667,0.002532463,4825,6.41E-06,12.21913506,0.03094451,19.94
-230.24524,142383.8112,429656.0752,11.316667,4962.5,64100,172204.17,448912.5,15944254,208.33333,20695.834,83179.164,207770.83,3788987.5,0,3187.5,15300,66316.664,526529.19,0,0,0,0,-3551262.5,7116.6665,20791.666,45816.668,92841.664,474975,-1733.3334,-11191.667,-34262.5,-584641.69,-19491504,50.333332,504.66666,1158.3334,2303.3333,17883.334,38.833332,314.5,641.5,1271.6666,9112,42.366665,144.75,541.06665,3923.3667,9964.7998,29508.334,0,0,73.349998,573.51666,1184.0166,8804.6172,2.1499999,1.8333334,23.333334,20.183334,15.466667,36.033333,0,0,21.883333,18.966667,13.966667,34.233334,0,0,1.7333333,1.5,1.15,2.8,0,0,1.7333333,1.5,1.15,2.7,0.083915003,0.00709081,0.010911667,0.000119178,100,9359,749,749,8.3915997,0.70905,102.14647,1.1153834,8.1803169,0.089400001,8.1747999,0.089266665,0,0,4.1500001,30.65,52.066666,121.03333,48.333332,99.5,202.5,617.16669,1028.3334,2040.8334,81825.17833,68344.09333,0,3802.012,0,1854.655,1184.434,295.9575,5818.68,6407.416,0,0.066845,0,0.046685,0.046951,0.035368,0.057649,0.089127,0.079224,0.000550116,8368,3.03E-07,4.603372616,0.00253239,14.75
-304.61783,144873.8112,432717.7418,13.583333,516.66669,79516.664,275441.66,1046733.3,14171708,6766.6665,79033.336,131866.67,219850,1683275,13408.333,44116.668,123516.66,342341.66,716475,0,0,0,0,-1648183.4,0,0,0,174491.67,586716.69,-25,-3925,-36991.668,-598466.69,-19349008,13,366.66666,1150,4320.6665,19808.334,7.3333335,181,554,2175.6667,9957.333,22.766666,132.93333,864.96667,4915.7666,10649.9,36141.934,0,8.833333,307.33334,1182.8667,1991.2667,4602.2002,1.1666666,11.133333,84.099998,36.533333,22.466667,15.8,0,9.5666666,82.366669,35.200001,21.333332,12.866667,0,0.29999998,2.0666666,0.89999998,0.5,0.5,0,0.29999998,2.0666666,0.89999998,0.5,0.40000001,0.11254,0.022122523,0.017458335,0.000313,100,8497,255,255,11.253966,2.2122667,148.36003,2.6595666,4.4458165,0.07948333,4.4523668,0.079816669,0,0,1.9333334,7.6999998,13.033334,26.166668,0,0,0,0,0,1462.3334,59828.00667,51959.34667,1045.231,1636.291,63428.48,2011.149,1193.14,15857.5,5708.701,2584.554,0.95493,0.04138,0.565884,0.045271,0.040585,0.176839,0.044327667,0.076394,0.039612,0.001106986,2999,1.23E-06,3.319850859,0.003675028,13.8
-234.0835,135793.8112,427571.9085,14.516666,8004.1665,81495.836,207758.33,836250,15790612,6033.3335,43025,176108.33,596829.19,8863100,0,1083.3334,6304.1665,47829.168,533987.5,0,0,0,0,-4980896,0,7370.8335,16091.667,71800,1239587.5,-2120.8333,-29220.834,-41637.5,-465370.84,-26102664,31.666666,430.33334,1061.3334,3214.5,23580.166,18.333334,250.66667,590.33331,1658.5,11190.667,49.616669,163.39999,542.79999,3086.5667,7817,26864.551,0,0,0,93.866669,793.6333,2465.2666,2.5,2.0833333,1.7666667,5.4166665,14.033333,10.55,0,0,0,4.3333335,13.2,9.75,0,0,0,0.40000001,1.1833334,0.89999998,0,0,0,0.40000001,1.1833334,0.89999998,0.25,0.0625,0.003345,1.12E-05,100,13038,1173,1173,25,6.25,43.619335,0.14649999,3.9222333,0.013166667,3.9243333,0.01315,0,0,0,5.1333332,52.150002,108.95,0,0,0,448.83334,990.83331,3918.6667,185275.6167,295166.1833,202115.2,3800.511,89902.86667,1777.089,2447.816,23994.26333,8682.931,4215.754833,0.95493,0.076394,0.4479915,0.065077,0.07162,0.253468667,0.063721,0.127324,0.076394333,0.002592187,208655.3333,6.72E-06,540.8737184,1.402046018,12.31666667
-226.23367,135962.1446,423046.9085,12.566667,0,1004.1667,6125,62287.5,26570608,13483.333,96170.836,190045.83,552045.81,7293958.5,0,7066.6665,21200,21875,1502187.5,0,0,0,0,-2364400,0,7266.6665,16391.666,55179.168,1135220.9,-3829.1667,-67225,-225079.17,-616050,-24487476,0.5,23.5,119,232.33333,31285.666,0,13.333333,72.333336,153.5,15040.167,14.116666,172.39999,760.15002,5019.8164,10265.55,22564.584,0,37.5,304.43335,3223.6333,6124.7998,12445.5,12.5,73.316666,111.96667,128.18333,90.716667,44.916668,0,43.900002,92.566666,122.9,87.816666,42.683334,0.59999996,5.4166665,8.5333338,9,6.3166666,3.0999999,0,3.8833334,7.4666667,8.6833334,6.1499996,2.9166667,0.038433332,0.001672948,0.018588332,0.000419527,1848,8967,147,807,71.472549,3.0301666,166.67346,3.7618833,4.7392335,0.1831,15.000033,0.33856666,0,0,0,34.766666,75.199997,162.11667,0,0,0,381.5,853,2906.1667,34845.87,17237.15833,185.6821667,2409.803333,499.1596,2003.402,2289.461,2053.495333,8882.843667,4236.772,0.053051667,0.084883,0.424413,0.086297,0.084352,0.188628333,0.06543,0.174009667,0.130153,0.000920391,3500,8.47E-07,3.22136799,0.002964918,14.76666667
-285.73676,133130.4779,419236.9085,8.1833334,12725,134850,366000,1584050,33679952,0,0,0,30000,3494325,0,0,9125,24650,1647800,0,0,0,0,-688450,0,0,0,0,809950,-15775,-132800,-362225,-1308150,-21668324,5,42,131,652,43954,2,17,51,248,21234,47.400002,99.199997,202.5,883.40002,3108.3,14142.7,0,0,0,0,709.5,2106.2,2.4000001,1.3,0.60000002,0.30000001,9.6000004,10.1,0,0,0,0,9.3000002,6.9000001,0,0,0,0,0.69999999,0.69999999,0,0,0,0,0.69999999,0.5,0.25,0.0625,0.00285,8.12E-06,100,10275,728,728,25,6.25,29.2735,0.083400004,2.0713999,0.0059,2.0741,0.0059,0,0,0,0,0,0,0,0,0,0,0,0,667.4901,553.5831,0,2911.041,25.70365,3366.215,2610.536,91.7509,77.5293,436.2504,0,0.130507,0.141471,0.128739,0.101063,0.212207,0.070382,0.114592,0.118836,0.000739777,182,5.47E-07,0.134639484,9.96E-05,9.94204414
-226.31206,130387.1446,420731.0752,8.6333332,9904.167,36162.5,51454.168,301870.84,32447476,6670.8335,52616.668,131420.83,421808.34,4727654,0,1300,1825,20100,2598362.5,0,0,0,0,-340387.5,820.83331,11891.667,23658.334,89229.164,750400,-2945.8333,-29175,-58016.668,-774450,-20846446,54.166668,240.16667,402.33334,1267.1666,76228.664,26.833334,155.5,268,788.83331,38909.5,50.866669,180.5,636.54999,2647.2832,6021.6333,19690.166,0,0,0,0,1045.1333,6265.2168,2.5999999,2.2833333,2.0333333,0.93333334,15.366667,32.166664,0,0,0,0,14.200001,30.116667,0,0,0,0,0.41666669,1.2166667,0,0,0,0,0.40000001,1.2,0.14484167,0.023392227,0.00279,7.83E-06,100,7527,226,226,14.484117,2.3392334,20.992867,0.05895,0.63069999,0.00175,0.6303333,0.00175,0,0,0,0,21,100.06667,0,12,30.5,554.66669,1223.3334,3912,494.6131667,82.14913833,8.963353,2938.083333,19.41092,3356.691833,2630.727,208.819,78.48131,131.6572,0.31831,0.157033,0.424413,0.127559833,0.104247,0.247574,0.071089,0.114592,0.118836,0.004872545,28,2.37E-05,0.136431254,0.000664767,11.10871081
